ASIGNATURA;2017 1;2017 2;2018 1;2018 2;2019 1;2019 2;2020 1;2020 2;2021 1;2021 2;2022 1;2022 2;2023 1;2023 2;2024 1;CICLOS;AREAS
MODELAMIENTO Y SIMULACION;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
MODELOS;0,1%;0,0%;0,0%;0,0%;0,1%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
MODELOS Y SIMULACION;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%;Ciclo de profundizacion;Ingenieria aplicada
ONDAS;1,5%;3,2%;0,0%;1,6%;3,3%;3,0%;0,8%;0,2%;1,0%;1,0%;3,3%;3,6%;1,4%;3,0%;1,8%;Ciclo basico ingenieria;Ciencias basicas
PENSAMIENTO SISTEMICO;1,5%;0,1%;0,0%;0,0%;0,0%;0,1%;0,4%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PLANEACION Y GESTION DE SI;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,0%;0,2%;0,5%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;;
PROCESO AGILES DE DESARROLLO DE SOFTWARE;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;0,0%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROFUNDIZACION A1 GESTION GERENCIA SISTEMAS;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROFUNDIZACION A2 AUDITORIA SISTEMAS;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROFUNDIZACI�N AI;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROFUNDIZACION AII;0,0%;0,0%;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROFUNDIZACION B1 MOVILES I;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROFUNDIZACION B2 MOVILES II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROFUNDIZACION BI;0,0%;0,0%;0,0%;0,1%;0,1%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROFUNDIZACION BII;0,0%;0,1%;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROGRAMACION AVANZADA;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROGRAMACION BAJO WEB;1,7%;1,5%;0,0%;0,1%;0,3%;0,6%;0,0%;0,3%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROGRAMACION DE COMPUTADORES I;4,3%;4,2%;0,0%;3,1%;3,0%;2,8%;3,3%;3,6%;3,1%;3,3%;2,5%;4,3%;5,0%;3,0%;4,9%;Ciclo basico ingenieria;Ingenieria aplicada
PROGRAMACION DE COMPUTADORES II;2,6%;2,8%;0,0%;4,6%;5,4%;5,3%;3,3%;5,3%;2,6%;4,1%;2,7%;3,0%;2,9%;1,7%;1,9%;Ciclo basico ingenieria;Ingenieria aplicada
PROGRAMACION DE COMPUTADORES III;0,6%;2,6%;0,0%;2,0%;1,5%;2,5%;2,0%;3,8%;1,5%;4,1%;4,0%;3,5%;5,0%;1,9%;2,8%;;
PROGRAMACION I;0,0%;0,0%;0,0%;0,4%;0,7%;2,4%;0,8%;1,6%;0,0%;0,0%;0,0%;0,0%;0,0%;3,9%;2,1%;;
PROGRAMACION II;1,1%;0,8%;0,0%;0,7%;0,0%;0,4%;0,4%;1,6%;0,0%;0,0%;0,0%;0,0%;0,0%;2,3%;1,7%;;
PROGRAMACION III;1,3%;1,6%;0,0%;2,4%;0,9%;0,9%;1,6%;1,7%;0,0%;0,0%;0,0%;0,0%;0,0%;2,1%;1,0%;Ciclo de profundizacion;Ingenieria aplicada
PROGRAMACION IV;0,0%;0,0%;0,0%;0,4%;0,0%;0,0%;0,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;;
PROGRAMACION LINEAL;1,0%;1,2%;0,0%;1,4%;1,7%;0,6%;0,0%;0,0%;0,0%;0,0%;1,0%;0,0%;0,0%;0,0%;0,0%;;
PROGRAMACION MOVIL;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,0%;0,7%;0,3%;0,1%;0,4%;Ciclo de profundizacion;Ingenieria aplicada
PROGRAMACION WEB;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,4%;0,6%;0,5%;1,2%;0,0%;0,0%;0,8%;0,2%;0,1%;Ciclo de profundizacion;Ingenieria aplicada
PROYECTO DE GRADO;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
PROYECTO DE GRADO I;0,0%;0,2%;0,0%;0,0%;0,1%;0,2%;0,4%;0,0%;0,5%;0,2%;0,2%;0,1%;0,0%;0,0%;0,0%;Ciclo profesional;Formacion Investigativa
PROYECTO DE GRADO II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;Ciclo profesional;Formacion Investigativa
PSICOLOGIA;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
QUIMICA II;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,5%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
REDES AVANZADAS;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
REDES Y COMUNICACIONES;0,0%;0,8%;0,0%;0,0%;0,7%;0,1%;0,0%;0,0%;0,0%;0,4%;4,6%;4,4%;7,5%;3,6%;3,0%;Ciclo de profundizacion;Ingenieria aplicada
REDES Y TELECOMUNICACIONES;0,6%;0,2%;0,0%;0,1%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
REDES Y TELECOMUNICACIONES I;0,0%;0,0%;0,0%;1,1%;0,6%;0,4%;0,0%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;1,2%;0,1%;;
REDES Y TELECOMUNICACIONES II;0,0%;0,0%;0,0%;0,0%;0,1%;0,1%;1,2%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,3%;;
RESPONSABILIDAD PROFESIONAL;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,8%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;;
SALUD OCUPACIONAL;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;0,0%;;
SEGURIDAD INFORMATICA;0,0%;0,5%;0,0%;0,4%;0,2%;0,5%;0,4%;0,2%;0,5%;0,6%;0,4%;0,3%;0,0%;0,2%;0,1%;Ciclo profesional;Ingenieria aplicada
SEGURIDAD Y PRIVACIDAD DE LA INFORMACION;0,3%;0,9%;0,0%;0,0%;0,2%;0,2%;0,0%;0,6%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,2%;;
SEMILLERO DE INVESTIGACION;0,0%;0,0%;0,0%;1,1%;0,0%;0,0%;1,6%;1,3%;0,0%;0,0%;0,0%;0,0%;0,0%;1,1%;1,1%;;
SEMINARIO DE INVESTIGACION;0,2%;0,3%;0,0%;0,3%;0,4%;0,2%;0,0%;0,0%;1,5%;1,4%;2,3%;2,2%;0,8%;1,3%;0,4%;Ciclo de profundizacion;Formacion Investigativa
SEMINARIO INVESTIGACION;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,4%;0,8%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
SERVIDORES;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
SIMULACION;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
SIMULACION Y SISTEMAS DE CONTROL II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
SISTEMA DE INFORMACION;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,6%;0,4%;0,3%;Ciclo de profundizacion;Ingenieria aplicada
SISTEMAS BASADOS EN CONOCIMIENTO;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%;;
SISTEMAS OPERATIVOS;0,7%;0,4%;0,0%;0,9%;0,8%;0,9%;2,0%;1,4%;0,5%;2,3%;1,7%;2,3%;2,6%;0,8%;0,2%;Ciclo de profundizacion;Ingenieria aplicada
SISTEMAS OPERATIVOS II;0,0%;0,0%;0,0%;0,1%;0,1%;0,1%;0,8%;0,0%;0,0%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;;
TECHNICAL ENGLISH I;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;1,6%;0,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,4%;;
TECHNICAL ENGLISH II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%;0,3%;;
TECNICAS DE AUTOAPRENDIZAJE;0,9%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
TECNOLOGIA WEB II;0,1%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
TELEMATICA II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
TEMAS AVANZADOS DE SOFTWARE II;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;;
